"numero","texto"
1,"En el Estado de México continúan detectándose estructuras de complicidad entre gobiernos municipales y organizaciones criminales. Aunque el operativo Enjambre evidenció el grado de infiltración, el secretario de Seguridad y Protección Ciudadana de México, Omar García Harfuch, admitió que aún existen órdenes de aprehensión pendientes, esenciales para romper la sinergia entre el crimen organizado y autoridades locales."
2,"El funcionario explicó que la Fiscalía mexiquense mantiene abiertas investigaciones surgidas de este despliegue, y que la coordinación con la federación busca cerrar los espacios donde operan servidores públicos vinculados con actividades ilícitas."
3,"‘La estrategia no solo busca castigar, sino también reconstruir el control institucional en los municipios donde el crimen tuvo influencia directa’, dijo García Harfuch."
4,"En la zona sur del estado —que comprende Luvianos, Tejupilco, Tlatlaya, Sultepec y Amatepec— operan de manera permanente el Ejército, la Guardia Nacional y la Policía Estatal. Allí, los delitos más frecuentes son extorsión, tala ilegal y cobro de piso, además del uso de rutas hacia la Ciudad de México.

García Harfuch destacó que la Estrategia Nacional Antiextorsión, encabezada por la Fiscalía mexiquense, ha identificado estructuras locales dedicadas al cobro de cuotas y redes de protección vinculadas con autoridades. Sin embargo, reconoció que la presión criminal persiste y que el objetivo es avanzar hacia detenciones con impacto real."
5,"En la región oriente, prioritaria para la Presidencia de la República, se mantiene un mando unificado entre fuerzas federales y estatales. Allí, operativos recientes mostraron que algunas agrupaciones utilizaban sindicatos como fachada para actividades ilícitas."
6,"El operativo Enjambre, impulsado por el gobierno estatal y respaldado por la federación, derivó en decenas de detenciones de exfuncionarios y mandos municipales. No obstante, solo el 11 por ciento de las carpetas ha alcanzado sentencia."
7,"‘Cada captura refuerza las líneas de investigación y permite armar casos de mayor alcance’, señaló el secretario, quien agregó que la colaboración con la fiscalía busca integrar expedientes más sólidos contra quienes mantienen vínculos con grupos criminales."
8,"García Harfuch confirmó la presencia de la Familia Michoacana y del Cártel Jalisco Nueva Generación, así como de organizaciones locales como Los Julios y El Nuevo Imperio. Estas células operan principalmente en municipios del Valle de Toluca y zonas limítrofes con la Ciudad de México."
9,"Entre las detenciones recientes destaca la del líder de El Nuevo Imperio, conocido como “El 20”, lo que generó fragmentación interna de los grupos y disputas por control territorial. No obstante, algunos liderazgos antiguos mantienen presencia sólida en la región sur."
10,"La infiltración en corporaciones municipales sigue siendo un reto. La depuración impulsada por el fiscal José Luis Cervantes y el secretario estatal Cristóbal Castañeda ha permitido recuperar terreno, sobre todo en mandos medios."
11,"‘El fortalecimiento de la Policía Estatal es un paso previo a la profesionalización de las policías municipales, aún con recursos y personal limitados’, afirmó Harfuch. Además, señaló que las detenciones de mandos corruptos generan un efecto positivo entre agentes que no están vinculados con el crimen."
12,"El funcionario destacó que, en este primer año de coordinación, el Estado de México ha logrado reducir 43 por ciento los homicidios dolosos respecto al inicio de la administración local."
13,"Sobre el aumento de desapariciones, García Harfuch señaló que muchos casos están relacionados con el reclutamiento forzado de jóvenes. La federación ha dado de baja cerca de 70 páginas y perfiles en redes sociales usados para atraer adolescentes con supuestas ofertas de empleo, además de detener a responsables de estas redes."
14,"Aunque los indicadores de homicidios y delitos de alto impacto muestran una tendencia a la baja, la percepción social de inseguridad no ha cambiado al mismo ritmo, admitió el secretario."
15,"‘La confianza se recupera cuando la ciudadanía observa operativos constantes, investigaciones firmes y ausencia de impunidad’, afirmó. El modelo aplicado en el Estado de México —coordinación federal, depuración local y fortalecimiento de inteligencia— podría replicarse en otras entidades."
16,"La prioridad inmediata sigue siendo cumplir las órdenes pendientes y romper definitivamente la sinergia entre crimen y autoridad municipal, mientras se consolidan las investigaciones abiertas en torno a los grupos que aún operan en la entidad."
